Maturity,a,b,rho,m,sigma
0.01643836,2.3713492931807293e-08,0.041346920558654875,-0.6201488395486293,-0.008244133771666821,0.1686243335676842
0.03835616,0.00919987062418753,0.06690709624467364,-0.9999995944078462,-0.1210819224718537,0.26698735781491845
0.05753425,0.0063229786506713665,0.07976780728533772,-0.949301808542934,-0.12358321395246143,0.3172907601273578
0.07671233,0.00827672018960535,0.0825691346626596,-0.9657807101189033,-0.11682364319336005,0.3414569917284892
0.09589041,0.009226719250515268,0.08127185803776714,-0.9503969730036947,-0.07860531471815442,0.3454489829330063
0.11506849,0.012630897928986518,0.0879620867344906,-0.9999986152861358,-0.10897440455130616,0.3784477661832402
0.13424658,0.014290633446842838,0.09262274256646405,-0.9999985248569933,-0.10144530063355044,0.37482049199161177
0.19178082,0.013923895757138252,0.09867964380538152,-0.9999999837992826,-0.08594907094719512,0.41051025722282075
0.26849315,0.013104576583267176,0.09466229996851497,-0.9999999017336818,-0.020414955898802302,0.4567325205939612
0.34520548,0.010423710579895213,0.10431126002133737,-0.9999999999525498,-0.030598223866303117,0.5138838503201917
0.44109589,0.008033070033287695,0.11337314453485697,-0.9999999998427134,-0.02826754871991524,0.5538483354717239
0.51780822,0.008369859162832387,0.10677121380152808,-0.9999999854768663,0.05194102793669177,0.5660140344931537
0.69041096,0.0047958540479467555,0.09771463795652277,-0.9999999493914965,0.19971835148982284,0.6018332028140618
0.76712329,2.7738090070667815e-08,0.10406532584415809,-0.9999999601513597,0.15224604793352664,0.673636187919308
0.93972603,1.1787478830522831e-07,0.12362301076207535,-0.999999797681179,-0.011298362320762617,0.8530484754672828
1.18630137,3.0502512854602426e-10,0.12545641312906713,-0.9999999998376172,0.07355449380533591,0.9231226379332197
1.68767123,0.15785261596098982,0.10522524711363258,-0.9999999914259842,-0.0444264309467208,0.17950360926928088
1.76438356,0.167660925350035,0.10312573015993064,-0.999999989097891,-0.04691302450702936,0.14901739595771823
2.18356164,0.20900828055259743,0.10464228641842924,-0.9999999995945363,-0.08050917125107135,0.12320731544780517
2.68493151,0.13401718497940945,0.14628879397139644,-0.9999999801176132,0.07038192077179889,0.8991325794740528
